trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
180,False,"{'a': 0.01, 'e': 0.1669601696670407}",20,8,-1.7870322970536374,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.16529888822158653}",20,12,16.44077092294714,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.01, 'e': 0.16365413680270405}",20,13,1.3366239240102455,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.01, 'e': 0.16202575093388075}",20,2,21.087748150674447,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.01, 'e': 0.16041356777517274}",35,13,23.948639261358405,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.01, 'e': 0.15881742610692068}",20,16,9.102393563286107,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.01, 'e': 0.1572371663136276}",20,15,9.172287661371255,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.01, 'e': 0.1556726303679973}",20,2,1.0358547395395663,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
188,False,"{'a': 0.01, 'e': 0.1541236618151314}",25,13,11.214106436408544,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.01, 'e': 0.15259010575688386}",25,3,30.117232625203467,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.01, 'e': 0.15107180883637084}",25,13,20.106724985054676,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.01, 'e': 0.14956861922263504}",20,15,8.175745543259652,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.01, 'e': 0.14808038659546244}",20,9,8.61991829741632,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.01, 'e': 0.14660696213035015}",30,14,25.045988532081548,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.01, 'e': 0.14514819848362373}",25,15,6.809091002744956,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.01, 'e': 0.14370394977770293}",20,4,22.668461746608937,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.01, 'e': 0.1422740715865136}",25,12,21.325464603553733,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.01, 'e': 0.140858420921045}",20,1,-13.852790954341245,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
198,False,"{'a': 0.01, 'e': 0.13945685621505094}",20,8,15.832330570899531,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.01, 'e': 0.13806923731089282}",20,2,6.692032895942629,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.01, 'e': 0.13669542544552385}",20,1,29.828399085926964,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.01, 'e': 0.1353352832366127}",25,17,15.871737448420177,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.01, 'e': 0.13398867466880493}",20,13,6.767819088410315,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.01, 'e': 0.13265546508012172}",25,11,26.45336283509226,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.01, 'e': 0.13133552114849303}",35,23,17.674371230256046,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.01, 'e': 0.1300287108784259}",25,8,32.13967085914157,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.01, 'e': 0.12873490358780423}",25,13,6.192849989306418,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.01, 'e': 0.12745396989482075}",20,0,18.411239856377055,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.01, 'e': 0.12618578170503877}",20,7,19.365322082355025,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.01, 'e': 0.12493021219858241}",20,5,-17.895480163292905,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 0}",1
210,False,"{'a': 0.01, 'e': 0.12368713581745483}",20,0,12.307905661575191,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
211,False,"{'a': 0.01, 'e': 0.1224564282529819}",30,9,22.76574795920302,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.01, 'e': 0.12123796643338168}",25,18,13.754561842698784,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.01, 'e': 0.12003162851145673}",30,0,32.0199779879227,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
214,False,"{'a': 0.01, 'e': 0.11883729385240965}",20,14,11.822532594750925,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.01, 'e': 0.11765484302177918}",25,16,10.114291943613145,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.01, 'e': 0.11648415777349697}",20,16,8.145753365310458,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.01, 'e': 0.11532512103806251}",35,19,24.614813810488364,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.01, 'e': 0.1141776169108365}",20,0,18.39617826059041,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.01, 'e': 0.11304153064044985}",20,14,11.031269477234035,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.01, 'e': 0.11191674861732888}",30,8,11.138746684648458,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
221,False,"{'a': 0.01, 'e': 0.11080315836233387}",25,7,10.534452416632904,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
222,False,"{'a': 0.01, 'e': 0.10970064851551141}",25,8,20.12499769923077,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
223,False,"{'a': 0.01, 'e': 0.10860910882495796}",25,6,32.25678499367624,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.01, 'e': 0.10752843013579495}",20,0,28.334288548421767,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
225,False,"{'a': 0.01, 'e': 0.1064585043792528}",20,4,29.921171051964155,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.01, 'e': 0.10539922456186433}",25,15,-4.591228816502745,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
227,False,"{'a': 0.01, 'e': 0.104350484754765}",35,21,25.917355713008885,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.01, 'e': 0.1033121800831002}",30,10,-9.814378551075077,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
229,False,"{'a': 0.01, 'e': 0.10228420671553744}",35,14,43.69528802467593,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.01, 'e': 0.1012664618538834}",20,10,15.076120606428658,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.01, 'e': 0.1002588437228037}",20,14,10.749591159457912,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.01, 'e': 0.09926125155964566}",20,0,2.593968826579017,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
233,False,"{'a': 0.01, 'e': 0.09827358560436154}",25,7,29.984231756867747,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.01, 'e': 0.09729574708953276}",20,9,9.881943587611813,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.01, 'e': 0.09632763823049303}",30,10,26.89697118759102,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
236,False,"{'a': 0.01, 'e': 0.09536916221554961}",20,0,15.340387242824283,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
237,False,"{'a': 0.01, 'e': 0.09442022319630235}",20,12,13.423042234638084,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.01, 'e': 0.09348072627805847}",20,6,19.002586178708718,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.01, 'e': 0.09255057751034329}",20,10,21.045405794376723,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.01, 'e': 0.09162968387750484}",25,3,-24.627120896162943,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
241,False,"{'a': 0.01, 'e': 0.09071795328941251}",20,1,9.687275859021609,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
242,False,"{'a': 0.01, 'e': 0.08981529457224763}",25,14,16.483976494434764,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.01, 'e': 0.08892161745938634}",20,7,19.318540936075333,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.01, 'e': 0.08803683258237255}",25,11,-8.653385966241594,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
245,False,"{'a': 0.01, 'e': 0.0871608514619813}",25,13,19.287778388524966,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.01, 'e': 0.0862935864993705}",20,8,20.738005076475297,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.01, 'e': 0.08543495096732123}",35,20,12.650137048058486,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
248,False,"{'a': 0.01, 'e': 0.08458485900156469}",35,25,23.325441114996835,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.01, 'e': 0.08374322559219596}",20,9,26.27927056537355,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.01, 'e': 0.08290996657517266}",30,16,14.94262504163033,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
251,False,"{'a': 0.01, 'e': 0.0820849986238988}",30,0,34.54191166420797,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
252,False,"{'a': 0.01, 'e': 0.08126823924089167}",25,15,19.54394694069907,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.01, 'e': 0.08045960674953244}",20,7,18.073911228495533,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.01, 'e': 0.07965902028589801}",25,8,1.8761616802616077,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
255,False,"{'a': 0.01, 'e': 0.07886639979067495}",20,11,15.739133176022486,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.01, 'e': 0.07808166600115313}",20,0,15.761150183672157,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
